numeps  cue8soar  cue12soar cue13soar cue15soar cue8new cue12new  cue13new  cue15new
2914  1.11222 13.75705  1.48974 0.95514 1.699251061 0.373593939 0.568737054 0.415605064
35564 0.64806 13.56252  1.99871 0.92847 1.881653325 0.415260307 1.201334406 0.40957384
69794 1.80517 13.69802  0.73562 1.35892 1.937245624 0.390698022 0.51231925  0.512393523
103205  0.90827 14.29436  0.67053 1.29795 1.964241293 0.380333007 0.347399743 0.428968869
130533  1.42812 14.90309  0.74016 1.44869 1.993793995 0.369182235 0.367381881 0.46040292
161538  0.53667 15.49321  0.71089 1.39807 2.00305032  0.398584589 0.427111506 0.518360106
192551  0.57414 15.35345  0.89782 1.4398  1.948868782 0.38669065  0.656350824 0.478959738
224108  0.89702 15.27473  1.38203 1.34158 1.970470475 0.419854447 0.729303438 0.446718451
256724  1.70369 15.21556  0.70385 2.20092 2.366805684 0.419028516 0.680003945 0.542853036
288023  0.62823 15.10381  1.31432 1.99596 2.000025624 0.407096086 1.108498163 0.488863638
319025  2.32393 15.88796  0.65825 2.51246 2.05848009  0.423271868 0.41433001  0.535165716
